size_category,records_processed_category,profile,use_exclusive_locks,copy_mode,ignore_exit_errors,status,parallel_number,lock_source_client,ignore_table_errors,use_table_segmenter,records_processed_bin,size_in_bytes_bin,LassoCV Regularization0,runtime_in_seconds
1,2,7,0,6,1,0,0.3333333333333333,0,0,0,1,1,1469.650773018295,384.0
2,2,1,0,0,1,0,0.3333333333333333,0,0,0,1,1,2004.3851212144964,1810.0
1,1,1,0,0,1,0,0.3333333333333333,0,0,0,1,1,1881.25766782929,1426.0
3,3,3,0,3,1,0,0.3333333333333333,0,0,0,0,0,513.2023919742994,37.0
0,1,3,0,0,0,0,0.3333333333333333,1,1,0,1,1,1388.7363752769656,677.0
2,2,1,0,0,1,0,0.3333333333333333,0,0,0,1,1,2009.0311957532997,1956.0
3,3,4,0,0,1,0,0.3333333333333333,1,0,0,0,0,246.64728956588272,529.0
1,1,1,0,0,1,0,0.3333333333333333,1,0,0,1,1,1669.6499947998566,1418.0
0,0,1,0,0,1,0,0.3333333333333333,0,0,0,0,0,694.234960896762,523.0
3,3,3,0,3,1,1,0.3333333333333333,0,0,0,0,0,893.784742410699,24.0
1,2,1,1,0,1,0,0.3333333333333333,1,0,1,1,1,1609.3805117871545,2188.0
3,3,1,0,4,0,0,0.3333333333333333,0,1,0,0,0,1005.1912099066712,510.0
0,1,3,0,2,1,0,0.3333333333333333,0,0,0,1,1,1488.092422861394,20.0
0,0,1,1,0,1,1,0.3333333333333333,1,0,0,1,1,2360.2538755749274,115.0
